sp,cm,ps,ce,mf,cr,ex,profile
0.640682167905023,0.81887316308403,0.0712693926779548,0.45538624512464,0.567981803382381,0.0588682310161326,0.93813124626925,0
0.453674042563374,0.90750832409901,0.136299212230751,0.00842086226099669,0.172160709045036,0.636414651599744,0.373766798556485,0
0.561538168597829,0.827903214592562,0.801525995448036,0.171354816738984,0.96084584907454,0.0905854984915829,0.269544940942569,1
0.821228895713672,0.15655684508856,0.71028118035331,0.45564268229441,0.114976446333417,0.924827584290308,0.550883770283424,1
0.740319378115048,0.980133339475978,0.00208131013404482,0.00670404508987922,0.478252746200071,0.674627246631312,0.479171320042726,0
0.673627413593332,0.898031161741451,0.659494796208097,0.90380007306313,0.760631723198142,0.509688765886921,0.974091009269042,1
0.511688463704779,0.24022385315811,0.0886691799252646,0.658443424994652,0.450910616440603,0.230822692132466,0.65876686988308,0
0.413500939303921,0.082140863734594,0.217784084356219,0.658274990819012,0.545221080763456,0.12074971675402,0.184357587940608,1
0.300509646054664,0.502961555076215,0.392062099726962,0.681588266378319,0.0272212548340007,0.461469484342261,0.449833162358292,1
0.744023346719241,0.427504236132962,0.980193034502213,0.798290848507906,0.872771925366355,0.741766401301793,0.538953545057212,1
0.962954585676705,0.811050986778527,0.624820090222845,0.762059691945788,0.996473943018374,0.876918157981983,0.0657138436573854,1
0.65965441178054,0.483414693942177,0.768634030333411,0.0882834367667594,0.362262195553274,0.212977876129312,0.0686761535269104,1
0.60628092895228,0.429399143153564,0.228539591054417,0.693875770180999,0.606469146082742,0.328685201502766,0.473466246044587,1
0.26531881747662,0.912213980958894,0.0161256500463655,0.800485987173135,0.921961871053687,0.892970684416503,0.0196187092359189,0
0.868212316917753,0.458391835842963,0.170807490138778,0.145917071241438,0.228797177074892,0.489164322689201,0.49746712111615,1
0.943051438296698,0.31914292494232,0.924247733549424,0.171301900619304,0.489507544000728,0.265356783442056,0.324127403221885,1
0.839971991951137,0.420913413723768,0.769677285339376,0.943511572430933,0.314891168828213,0.23305782496215,0.649396429459046,1
0.22101883150589,0.805404517523565,0.400363191214766,0.0233947585670895,0.350892217637774,0.78037024503569,0.395810642711616,0
0.435362307043439,0.123074898465435,0.285692343665038,0.579077638893069,0.235821499469198,0.563552740440171,0.779730351461838,0
0.25433439045093,0.878607676869676,0.931079413036107,0.265457665909312,0.163203741442165,0.240402154586447,0.178153896874685,1
0.687121235985713,0.458105524659485,0.359481820698,0.315143657443824,0.11511975335738,0.161182208896455,0.921188811934116,1
0.784986730293848,0.598858820994473,0.081912873688252,0.509070273795858,0.357671240174925,0.127133865146336,0.228919158188847,1
0.684017787442858,0.0625828557410971,0.288637125590407,0.494043623616042,0.532813169887205,0.152865792933203,0.539209032289813,0
0.334771159482137,0.72218865278837,0.0210760061212609,0.0276889057077907,0.858355445481532,0.600153400903974,0.134928979639334,0
0.0636593857659811,0.158018608139159,0.520386188551529,0.974010935773848,0.466721374562579,0.526596662223445,0.656450174103206,0
0.624650471080375,0.976960708271904,0.762148326147565,0.82616738391936,0.452782596077088,0.190647493964634,0.79546445836184,1
0.773665353488131,0.0883054703021579,0.20582097188618,0.388533789159802,0.418375751494608,0.467323654153636,0.795038021140393,0
0.935264574216307,0.0642467356045186,0.217604848503172,0.306987695484586,0.0436491530483659,0.693386337761144,0.221892291247217,1
0.729158505664118,0.491449886136361,0.600682639369988,0.211165904748912,0.310492596092518,0.576204259920323,0.336389111935821,1
0.403929880733237,0.206529864752242,0.600407343943884,0.791378858609143,0.102459374463068,0.817353986897115,0.606372818681687,0
0.20692221308102,0.925085934356476,0.730849334807678,0.974751770061251,0.721766398808903,0.434333765175293,0.953260689703273,1
0.205789035679022,0.350190716380496,0.229506018930092,0.578316422700243,0.637681168554125,0.343869067506925,0.387937147077244,0
0.164729492640179,0.513380205513771,0.229932447041839,0.321239179850934,0.902335302863049,0.501126993841513,0.636070775619657,0
0.31805460380163,0.250830534363865,0.596867969568859,0.936532564319208,0.0601625941523453,0.198303159616869,0.422292495890346,1
0.595830833692024,0.380705548626829,0.437356526473496,0.0546631351359877,0.763293114710874,0.424214068312681,0.765885559106809,0
0.750372898255642,0.468890540098488,0.458984429064351,0.622193541304712,0.811146676397161,0.672976041226182,0.0837022482691251,1
0.0877401047693507,0.910934764494566,0.554447375992459,0.703531445888283,0.593264089449673,0.516835465069244,0.643816012725557,0
0.155123629893177,0.870704977400422,0.472519054349447,0.86387900687462,0.624292095903532,0.75153402229742,0.0858190984794871,1
0.554673059522247,0.635291250276693,0.949538134146554,0.021550688584002,0.870452681848922,0.523538404830943,0.203305765256931,1
0.464935165802606,0.251539210809955,0.745445931466756,0.559565752022546,0.562519163492003,0.779787096394479,0.870963369855518,0
0.863548968720378,0.861231976686834,0.872241519807977,0.0014393448934676,0.410320096994978,0.989562416466879,0.221433153505802,1
0.317779483859154,0.172647702348115,0.500868727297737,0.251124276176648,0.27585206017682,0.7367835486655,0.90351038190824,0
0.754450004379705,0.526205007374355,0.596410938038806,0.847297712821138,0.785807900345952,0.184391628343847,0.675324285032905,1
0.235090084215933,0.394283686149441,0.0146336805630971,0.0128952938978014,0.939151969184839,0.204321286149473,0.0770974255430173,0
0.816354226595866,0.478444358547962,0.516071393265107,0.484006478891435,0.278551411420419,0.838305328698917,0.41313140882747,1
0.870660896376044,0.744751282667876,0.00688489390420406,0.00278719968308909,0.303621846377479,0.563099508605009,0.950032007908267,0
0.258774609073526,0.170070148298114,0.211271141033774,0.0721987769943422,0.0831394187648383,0.215810684760149,0.900965786377901,0
0.218591114050658,0.799182126022382,0.988584534660441,0.892376763575149,0.114960039418314,0.82824537006948,0.645753712787467,1
0.0766624728772116,0.768595683043796,0.456847934260978,0.898402291020667,0.186442848700291,0.32094239023605,0.828705643145474,1
0.726943910177724,0.0191634167609443,0.265234583317718,0.758464559714064,0.996777698756641,0.896908852820902,0.36379837131931,0
0.498035957664217,0.668017697092171,0.921213872414991,0.0771924420529165,0.108441268185612,0.744964302732168,0.960573014563537,0
0.252904270318207,0.51695747573749,0.803223870119981,0.394401951873059,0.765225359243028,0.361098333479839,0.329867850431255,1
0.922855197812243,0.730310374989009,0.392246441073794,0.628680860707195,0.265315360927025,0.656910790705804,0.89436216907574,1
0.00110231213154336,0.697203153867436,0.803525732565939,0.695007905463259,0.507069356761112,0.723621255873773,0.643644616884717,0
0.349752903231857,0.889807505915165,0.805186318032458,0.528426968935865,0.996507497293727,0.925716439815019,0.580183562810561,0
0.966461867178539,0.17986568400191,0.733740923978361,0.289755503830893,0.780544770330658,0.928478475469845,0.504505441612504,0
0.76079162210607,0.843322272300764,0.244923463964754,0.446717269054876,0.220125716805489,0.911465985420327,0.851768950085765,0
0.337886453841294,0.691084906994676,0.995023527992576,0.778893938743748,0.40057139987457,0.699266195941931,0.491729767118399,1
0.786788173745042,0.0804909568627808,0.967420185549148,0.211550547457825,0.363770654627622,0.826197062317972,0.413186249083599,0
0.138878637476788,0.844606821997927,0.8401170748288,0.303187797982155,0.851516718405795,0.942851215243281,0.160301128685497,0
0.437141937532464,0.1635414276918,0.52993319565457,0.30481761664759,0.215762145226596,0.818837766930571,0.975291700563618,0
0.586042419627502,0.122575024418143,0.170009887200638,0.516656486555938,0.541673188976871,0.0773800821525686,0.9935124849078,0
0.337427857975326,0.987258320458449,0.860816195589811,0.501849191113378,0.431092102404313,0.688824408505675,0.481106136912193,1
0.107767574636728,0.605404090171435,0.45990564923969,0.404982444990184,0.0214213952560888,0.201028226688031,0.341667156962757,1
0.0983911752500663,0.891108701453983,0.415228318689458,0.879227509823858,0.440093816632024,0.368886211289501,0.0378576628613426,1
0.0682856086559037,0.899894892151367,0.0404509355592444,0.948149227247541,0.464632898020084,0.365293234770052,0.193262725239222,1
0.785938746806716,0.594965279675529,0.404973943027703,0.35051312396548,0.618386245950461,0.951791059809293,0.578948641595134,0
0.621641141007456,0.561312502722328,0.497003349839431,0.917372616979973,0.490466122620398,0.611409157128529,0.90315052543427,0
0.464069789622303,0.0604834094908239,0.335472426246936,0.0410758770563472,0.602197797431892,0.365627371312876,0.709880335305301,0
0.227440497642037,0.439004954731617,0.385124809962841,0.431882872628366,0.489734053997028,0.731934088153977,0.168094976195714,0
0.512987827604053,0.0522537348980929,0.702212088276132,0.721843353830132,0.373069305294903,0.301963780549714,0.673289439364464,1
0.448927577666244,0.798267825801309,0.89678442985886,0.731457609552939,0.139877190805159,0.239668299474538,0.679834674337057,1
0.901762236122753,0.130752720972824,0.756997426444866,0.377950966270901,0.643607214157303,0.141020860142736,0.520198611546174,1
0.258590757006423,0.860641955138656,0.922570024995373,0.957096509272416,0.769261630635755,0.226257307886967,0.142488724715525,1
0.0410830237972747,0.611858689441678,0.364937743852745,0.938264589460082,0.396020967543415,0.981047135071678,0.227343112598766,0
0.870567886889496,0.318485115715243,0.245005551876298,0.283236049789212,0.363241012508243,0.433726974824441,0.47565383391622,1
0.473076734836259,0.363676616333808,0.97440798420773,0.872905573321075,0.889452392348746,0.250560228824132,0.0337054328516248,1
0.832844839901179,0.475993813084538,0.0548463653899214,0.35599640096277,0.744661665521817,0.343019916679954,0.164780621373797,1
0.226109301811425,0.130843470887175,0.0962489448262729,0.634050062055109,0.0819800993453599,0.431212540794073,0.976241785174913,0
0.574068799105529,0.246572199858949,0.317384395228195,0.113043439746432,0.549370086163814,0.684201046665382,0.0193932975030349,0
0.968888845130437,0.983657073163089,0.232123294040148,0.475775743361932,0.159534595935774,0.313290023944153,0.00648800137888677,1
0.0146809825744758,0.407335933975972,0.155298522152702,0.810514151397906,0.875913331278786,0.938045890336629,0.887286887820678,0
0.0305127141677198,0.651668271562683,0.357855654697964,0.450855976570742,0.0761153208804365,0.259372735068727,0.518756519747391,1
0.10434570643934,0.567149097242124,0.739389609251546,0.171683711653619,0.413737089101962,0.858918844488463,0.952248921234482,0
0.272710150295888,0.454024465461557,0.375619973868268,0.00502855231027785,0.445595819230852,0.482567519778639,0.101395657364614,0
0.410241768961612,0.429610816610871,0.651648505681973,0.639407340785016,0.551056318372517,0.603542497985282,0.935075714616501,0
0.935958706307819,0.528858905253914,0.607925734844508,0.247765465778335,0.809920925602984,0.456040618054171,0.696476541958923,0
0.515354889311453,0.345280556742659,0.662070680515858,0.238295248232563,0.0780433024412511,0.0298989648039576,0.00289929395209217,1
0.0973056104104367,0.55736457474034,0.940768004186952,0.755043833049926,0.819012310571716,0.113899732816691,0.80638277996885,1
0.503896719805579,0.367466929339301,0.468805056838783,0.84649707459605,0.842302692613573,0.887922550188173,0.423388128230131,0
